icao,lat,lon,name,country,type,tz
CZST,55.93541,-129.98243,Stewart Airport,CA,m,America/Vancouver
CZSW,54.33330,-130.28301,Prince Rupert/Seal Cove Seaplane Base,CA,s,America/Vancouver
CZTA,51.78457,-96.69231,Bloodvein River Airport,CA,s,America/Winnipeg
CZTM,55.86356,-92.08114,Shamattawa Airport,CA,s,
CZUC,49.42820,-91.72042,Ignace Municipal Airport,CA,m,
CZUM,53.56190,-64.10640,Churchill Falls Airport,CA,s,
CZVL,53.66750,-113.85400,Edmonton / Villeneuve Airport,CA,s,America/Edmonton
CZWH,58.61428,-101.46895,Lac Brochet Airport,CA,s,
CZWL,58.10690,-103.17200,Wollaston Lake Airport,CA,s,
DAAB,36.50360,2.81417,Blida Airport,DZ,m,Africa/Algiers
DAAD,35.33250,4.20639,Bou Saada Airport,DZ,m,Africa/Algiers
DAAE,36.71255,5.06991,Soummam–Abane Ramdane Airport,DZ,l,Africa/Algiers
DAAF,27.06240,1.11110,Aoulef Airport,DZ,s,Africa/Algiers
DAAG,36.69389,3.21453,Houari Boumediene Airport,DZ,l,Africa/Algiers
DAAJ,24.28545,9.46365,Tiska Djanet Airport,DZ,l,
DAAK,36.54580,2.87611,Boufarik Air Base,DZ,m,Africa/Algiers
DAAM,36.10870,6.36460,Telerghma Airport,DZ,s,Africa/Algiers
DAAN,26.71242,0.28822,Reggane Air Base,DZ,s,Africa/Algiers
DAAP,26.72350,8.62265,Illizi Takhamalt Airport,DZ,m,
DAAQ,35.52540,2.87871,Ain Oussera Airport,DZ,s,Africa/Algiers
DAAS,36.17849,5.32991,Ain Arnat Airport,DZ,m,Africa/Algiers
DAAT,22.81099,5.45083,Aguenar – Hadj Bey Akhamok Airport,DZ,l,Africa/Algiers
DAAV,36.79413,5.87365,Jijel Ferhat Abbas Airport,DZ,l,Africa/Algiers
DAAW,28.13604,6.83616,Bordj Omar Driss Airport,DZ,s,
DAAX,36.77820,2.92840,Chéraga Airport,DZ,s,Africa/Algiers
DAAY,33.53590,-0.24235,Mecheria Airport,DZ,m,Africa/Algiers
DAAZ,35.75296,0.62588,Relizane Airport,DZ,m,Africa/Algiers
DABB,36.82678,7.81334,Annaba Rabah Bitat Airport,DZ,l,Africa/Algiers
DABC,36.27600,6.62039,Mohamed Boudiaf International Airport,DZ,l,Africa/Algiers
DABO,35.87436,7.26774,Oum El Bouaghi Air Base,DZ,s,Africa/Algiers
DABS,35.43160,8.12072,Cheikh Larbi Tébessi Airport,DZ,m,Africa/Algiers
DABT,35.75210,6.30859,Batna Mostefa Ben Boulaid Airport,DZ,l,Africa/Algiers
DAEF,28.43879,7.55191,Tin Fouye Tabankort Airport,DZ,s,
DAEN,29.72888,6.71132,Rhoud Nouss Airport,DZ,s,Africa/Algiers
DAFH,32.93040,3.31154,Hassi R'Mel Airport,DZ,m,Africa/Algiers
DAFI,34.66570,3.35100,Tsletsi Airport,DZ,s,Africa/Algiers
DALH,-26.42304,135.50928,Dalhousie Airport,AU,s,
DAOB,35.34110,1.46315,Abdelhafid Boussouf Bou Chekif Airport,DZ,m,Africa/Algiers
DAOC,31.64290,-2.18466,Béchar Ouakda Aerodrome,DZ,s,Africa/Algiers
DAOE,35.73540,-0.80539,Bousfer Air Base,DZ,s,Africa/Algiers
DAOF,27.70040,-8.16710,Tindouf Airport,DZ,m,Africa/Algiers
DAOH,26.05097,-4.22004,Chenachene Airport,DZ,s,
DAOI,36.21661,1.34111,Chlef Aboubakr Belkaid International Airport,DZ,l,Africa/Algiers
DAOL,35.54240,-0.53228,Oran Tafraoui Airport,DZ,m,Africa/Algiers
DAOM,30.87900,-3.06775,Hamaguir Airport,DZ,s,Africa/Algiers
DAON,35.01273,-1.45712,Zenata – Messali El Hadj Airport,DZ,l,Africa/Algiers
DAOO,35.62065,-0.62249,Oran Es-Sénia (Ahmed Ben Bella) International Airport,DZ,l,Africa/Algiers
DAOR,31.64570,-2.26986,Béchar Boudghene Ben Ali Lotfi Airport,DZ,m,Africa/Algiers
DAOS,35.17180,-0.59328,Sidi Bel Abbes Airport,DZ,s,Africa/Algiers
DAOV,35.20770,0.14714,Ghriss Airport,DZ,m,Africa/Algiers
DAOY,33.72167,1.09250,El Bayadh Airport,DZ,s,Africa/Algiers
DATG,19.56052,5.74933,In Guezzam Airport,DZ,s,Africa/Niamey
DATM,21.37780,0.92698,Bordj Badji Mokhtar Airport,DZ,m,
DAUA,27.83760,-0.18641,Touat-Cheikh Sidi Mohamed Belkebir Airport,DZ,m,Africa/Algiers
DAUB,34.79318,5.73890,Biskra - Mohamed Khider Airport,DZ,l,Africa/Algiers
DAUE,30.58073,2.86159,El Golea Airport,DZ,m,Africa/Algiers
DAUG,32.38410,3.79411,Noumérat - Moufdi Zakaria Airport,DZ,m,Africa/Algiers
DAUH,31.67300,6.14044,Hassi Messaoud-Oued Irara Krim Belkacem Airport,DZ,m,Africa/Algiers
DAUI,27.25100,2.51202,In Salah Airport,DZ,m,Africa/Algiers
DAUK,33.06780,6.08867,Touggourt Sidi Madhi Airport,DZ,m,Africa/Algiers
DAUL,33.76440,2.92834,Laghouat - Molay Ahmed Medeghri Airport,DZ,m,Africa/Algiers
DAUO,33.51140,6.77679,Guemar Airport - مطار قمار بالوادي,DZ,m,Africa/Algiers
DAUT,29.23710,0.27603,Timimoun Airport,DZ,m,Africa/Algiers
DAUU,31.91720,5.41278,Ain Beida Airport,DZ,m,Africa/Algiers
DAUZ,28.05150,9.64291,Zarzaitine - In Aménas Airport,DZ,m,
DBBB,6.35723,2.38435,Cotonou Cadjehoun International Airport,BJ,l,Africa/Porto-Novo
DBBC,7.12542,2.04681,Bohicon/Cana Airport,BJ,s,Africa/Porto-Novo
DBBD,9.69208,1.63778,Djougou Airport,BJ,s,Africa/Porto-Novo
DBBK,11.14479,2.94038,Kandi Airport,BJ,s,Africa/Porto-Novo
DBBN,10.37697,1.36051,Natitingou Airport,BJ,s,Africa/Porto-Novo
DBBO,11.04656,0.99261,Porga Airport,BJ,s,Africa/Porto-Novo
DBBP,9.35769,2.60968,Parakou Airport,BJ,s,Africa/Porto-Novo
DBBR,10.27409,2.69708,Bembereke Airport,BJ,s,Africa/Porto-Novo
DBBS,8.01817,2.46458,Savé Airport,BJ,s,Africa/Porto-Novo
DFCA,13.07736,-1.10028,Kaya Airport,BF,s,Africa/Ouagadougou
DFCB,13.40000,-1.06700,Barsalogho Airport,BF,s,Africa/Ouagadougou
DFCC,13.65529,-2.32207,Ouahigouya Airport,BF,s,Africa/Ouagadougou
DFCD,12.55000,-2.61700,Didyr Airport,BF,s,Africa/Ouagadougou
DFCE,9.88300,-2.91700,Batie Airport,BF,s,Africa/Ouagadougou
DFCG,13.31700,-1.53300,Kongoussi Airport,BF,s,Africa/Ouagadougou
DFCI,13.76700,-2.08300,Titao Airport,BF,s,Africa/Ouagadougou
DFCJ,14.12500,-1.62472,Djibo Airport,BF,s,Africa/Ouagadougou
DFCK,12.26700,-2.40000,Koudougou Airport,BF,s,Africa/Ouagadougou
DFCL,11.10000,-2.10000,Leo Airport,BF,s,Africa/Ouagadougou
DFCM,11.66535,-1.04254,Manga Airport,BF,s,Africa/Ouagadougou
DFCP,11.17914,-1.14847,Po Airport,BF,s,Africa/Ouagadougou
DFCR,11.61743,-2.75369,Poura Airport,BF,s,Africa/Ouagadougou
DFCS,13.44060,-1.99436,Seguenega Airport,BF,s,Africa/Ouagadougou
DFCT,12.20000,-2.58300,Tenado Airport,BF,s,Africa/Ouagadougou
DFCU,13.20000,-2.36700,Gourcy Airport,BF,s,Africa/Ouagadougou
DFEA,12.65000,-0.56700,Boulsa Airport,BF,s,Africa/Ouagadougou
DFEB,12.98300,-0.16700,Bogande Airport,BF,s,Africa/Ouagadougou
DFEC,11.70000,0.15000,Komin-Yanga Airport,BF,s,Africa/Ouagadougou
DFED,12.06032,1.78463,Diapaga Airport,BF,s,Africa/Ouagadougou
DFEE,14.02164,-0.06821,Dori Airport,BF,s,Africa/Ouagadougou
DFEF,12.03300,0.35000,Fada N'gourma Airport,BF,s,Africa/Ouagadougou
DFEG,14.45417,-0.21864,Gorom-Gorom Airport,BF,s,Africa/Ouagadougou
DFEK,12.16700,-0.30000,Koupela Airport,BF,s,Africa/Ouagadougou
DFEL,12.46405,1.49294,Kantchari Airport,BF,s,Africa/Ouagadougou
DFEM,14.79087,0.03949,Tambao Airport,BF,s,Africa/Ouagadougou
DFEO,12.24906,-0.62051,Zorgo Airport,BF,s,Africa/Ouagadougou
DFEP,11.25000,0.70000,Pama Airport,BF,s,Africa/Ouagadougou
DFER,11.59700,1.48300,Arly Airport,BF,s,Africa/Ouagadougou
DFES,13.45000,0.51700,Sebba Airport,BF,s,Africa/Ouagadougou
DFET,11.80115,-0.37138,Tenkodogo Airport,BF,s,Africa/Ouagadougou
DFEY,11.51700,0.05000,Ouargaye Airport,BF,s,Africa/Ouagadougou
DFEZ,11.16700,-0.61700,Zabré Airport,BF,s,Africa/Ouagadougou
DFFD,12.35320,-1.51242,Ouagadougou Thomas Sankara International Airport,BF,l,Africa/Ouagadougou
DFOA,11.13300,-3.06700,Dano Airport,BF,s,Africa/Ouagadougou
DFOB,10.68886,-4.72773,Banfora Airport,BF,s,Africa/Ouagadougou
DFOD,12.45900,-3.49000,Dedougou Airport,BF,s,Africa/Ouagadougou
DFOF,12.15000,-3.18300,Safane Airport,BF,s,Africa/Ouagadougou
DFOG,10.38406,-3.16345,Gaoua Airport,BF,s,Africa/Ouagadougou
DFOH,11.49121,-3.51282,Houndé Airport,BF,s,Africa/Ouagadougou
DFON,12.75000,-3.86700,Nouna Airport,BF,s,Africa/Ouagadougou
DFOO,11.16010,-4.33097,Bobo Dioulasso Airport,BF,l,Africa/Ouagadougou
DFOR,10.98610,-4.92479,Orodara Airport,BF,s,Africa/Ouagadougou
DFOS,10.66700,-4.26700,Sideradougou Airport,BF,s,Africa/Ouagadougou
DFOT,13.05909,-3.07729,Tougan Airport,BF,s,Africa/Ouagadougou
DFOU,10.95000,-3.25000,Diebougou Airport,BF,s,Africa/Ouagadougou
DFOY,14.21700,-0.88300,Aribinda Airport,BF,s,Africa/Ouagadougou
DFYO,11.77028,-3.26750,Yaramoko Gold Mine Airport,BF,s,Africa/Ouagadougou
DGAA,5.60519,-0.16679,Kotoka International Airport,GH,l,Africa/Accra
DGAH,6.57969,0.53255,Ho Airport,GH,m,Africa/Accra
DGLE,9.55391,-0.86606,Yakubu Tali International Airport,GH,l,Africa/Accra
DGLN,10.94308,-1.08736,Navrongo Airport,GH,s,Africa/Accra
DGLW,10.08270,-2.50769,Wa Airport,GH,s,Africa/Accra
DGLY,9.42500,-0.00472,Yendi Airport,GH,s,Africa/Accra
DGSI,6.71456,-1.59082,Prempeh I International Airport,GH,l,Africa/Accra
DGSN,7.36183,-2.32876,Sunyani Airport,GH,m,Africa/Accra
DGTK,4.89606,-1.77476,Takoradi Airport,GH,m,Africa/Accra
DIAO,5.46194,-3.23472,Aboisso Airport,CI,s,Africa/Abidjan
DIAP,5.26139,-3.92629,Félix-Houphouët-Boigny International Airport,CI,l,Africa/Abidjan
DIAU,6.71556,-3.47028,Abengourou Airport,CI,s,Africa/Abidjan
DIBC,7.03300,-4.53300,Bocanda Airport,CI,s,Africa/Abidjan
DIBI,9.54057,-6.46983,Boundiali Airport,CI,s,Africa/Abidjan
DIBK,7.73880,-5.07367,Bouaké Airport,CI,m,Africa/Abidjan
DIBN,9.25556,-3.03333,Bouna Airport,CI,s,Africa/Abidjan
DIBU,8.01722,-2.76194,Soko Airport,CI,s,Africa/Abidjan
DIDB,5.35138,-4.40346,Dabou Airport,CI,s,Africa/Abidjan
DIDK,6.65167,-4.64056,Dimbokro Airport,CI,s,Africa/Abidjan
DIDL,6.79281,-6.47319,Daloa Airport,CI,m,Africa/Abidjan
DIGA,6.10285,-5.98681,Gagnoa Airport,CI,s,Africa/Abidjan
DIGL,6.53471,-7.52685,Guiglo Airport,CI,s,Africa/Abidjan
DIGN,4.64341,-6.92396,Nero-Mer Airport,CI,s,Africa/Abidjan
DIKO,9.38718,-5.55666,Korhogo Airport,CI,m,Africa/Abidjan
DIMN,7.27207,-7.58736,Man Airport,CI,m,Africa/Abidjan
DIOD,9.53946,-7.56134,Odienne Airport,CI,s,Africa/Abidjan
DIOF,9.60000,-4.05000,Ouango Fitini Airport,CI,s,Africa/Abidjan
DISG,7.96000,-6.64417,Séguéla Airport,CI,s,Africa/Abidjan
DISP,4.74672,-6.66082,San Pedro Airport,CI,m,Africa/Abidjan
DISS,4.92889,-6.13316,Sassandra Airport,CI,s,Africa/Abidjan
DITB,4.43781,-7.36273,Tabou Airport,CI,s,Africa/Abidjan
DITM,8.29340,-7.67400,Mahana Airport,CI,s,Africa/Abidjan
DIYO,6.90317,-5.36558,Yamoussoukro International Airport,CI,l,Africa/Abidjan
DMDM,11.94411,11.80845,Muhammadu Buhari International Cargo Airport,NG,s,Africa/Lagos
DNAA,9.00679,7.26317,Nnamdi Azikiwe International Airport,NG,l,Africa/Lagos
DNAI,4.87250,8.09300,Akwa Ibom International Airport,NG,m,Africa/Lagos
DNAK,7.24674,5.30101,Akure Airport,NG,m,Africa/Lagos
DNAN,6.26717,6.87133,Chinua Achebe International Airport,NG,s,Africa/Lagos
DNAS,6.20417,6.66528,Asaba International Airport,NG,l,Africa/Lagos
DNBA,10.29440,9.81667,Bauchi Airport,NG,s,Africa/Lagos
DNBB,6.62150,9.31900,Bebi Airport,NG,s,Africa/Lagos
DNBC,10.48283,9.74400,Sir Abubakar Tafawa Balewa Bauchi State International Airport,NG,l,Africa/Lagos
DNBE,6.31698,5.59950,Benin Airport,NG,m,Africa/Lagos
DNBI,9.10286,6.01475,Bida Airport,NG,s,Africa/Lagos
DNBK,12.47905,4.36913,Sir Ahmadu Bello International Airport,NG,l,Africa/Lagos
DNBY,4.95759,6.20333,Bayelsa International Airport,NG,m,Africa/Lagos
DNCA,4.97602,8.34720,Margaret Ekpo International Airport,NG,m,Africa/Lagos
DNDS,11.79513,9.30116,Dutse International Airport,NG,s,Africa/Lagos
DNEK,4.64284,7.94914,Eket Airport,NG,s,Africa/Lagos
DNEN,6.47372,7.56046,Akanu Ibiam International Airport,NG,l,Africa/Lagos
DNES,5.61673,5.18849,Escravos Airport,NG,s,Africa/Lagos
DNFB,4.40481,7.18087,Finima Bonny Airport,NG,s,Africa/Lagos
DNFD,5.35500,5.34900,Forçados Terminal Airport,NG,s,Africa/Lagos
DNGO,10.29889,10.90000,Gombe Lawanti International Airport,NG,m,Africa/Lagos
DNGU,12.17286,6.69614,Gusau Airport,NG,m,Africa/Lagos
DNIB,7.36246,3.97833,Ibadan Airport,NG,m,Africa/Lagos
DNIL,8.44021,4.49392,General Tunde Idiagbon International Airport,NG,l,Africa/Lagos
DNIM,5.42706,7.20603,Sam Mbakwe International Cargo Airport,NG,m,Africa/Lagos
DNJA,8.90200,11.28345,Jalingo Airport,NG,s,Africa/Lagos
DNJO,9.63983,8.86905,Yakubu Gowon Airport,NG,m,Africa/Lagos
DNKA,10.69600,7.32011,Kaduna International Airport,NG,l,Africa/Lagos
DNKN,12.04561,8.52357,Mallam Aminu Kano International Airport,NG,l,Africa/Lagos
DNKT,13.00780,7.66045,Umaru Musa Yar'adua Airport,NG,m,Africa/Lagos
DNMA,11.85416,13.08070,Maiduguri International Airport,NG,l,Africa/Lagos
DNMK,7.70388,8.61394,Makurdi Airport,NG,m,Africa/Lagos
DNMM,6.57737,3.32116,Murtala Muhammed International Airport,NG,l,Africa/Lagos
DNMN,9.65217,6.46226,Minna Airport,NG,m,Africa/Lagos
DNOS,7.78300,4.48300,Oshogbo Airport,NG,s,Africa/Lagos
DNPM,4.84611,7.02139,Port Harcourt City Airport / Port Harcourt Air Force Base,NG,m,Africa/Lagos
DNPO,5.01549,6.94959,Port Harcourt International Airport,NG,l,Africa/Lagos
DNSO,12.91573,5.20755,Sadiq Abubakar III International Airport,NG,l,Africa/Lagos
DNSU,5.59821,5.81870,Warri Airport,NG,m,Africa/Lagos
DNYO,9.25755,12.43040,Yola Airport,NG,m,Africa/Lagos
DNZA,11.13020,7.68581,Zaria Airport,NG,m,Africa/Lagos
DRRA,13.75660,8.02048,Tessaoua Airport,NE,s,Africa/Niamey
DRRC,13.66300,4.09967,Dogondoutchi Airport,NE,s,Africa/Niamey
DRRD,13.04974,3.22324,Dosso Airport,NE,s,Africa/Niamey
DRRE,13.95305,0.74030,Tera Airport,NE,s,Africa/Niamey
DRRG,11.89003,3.42802,Gaya Airport,NE,s,Africa/Niamey
DRRI,18.68670,12.91920,Bilma Airport,NE,s,
DRRL,14.25609,1.43510,Tillabéri Airport,NE,s,Africa/Niamey
DRRM,13.50250,7.12675,Maradi Airport,NE,m,Africa/Niamey
DRRN,13.48150,2.18361,Diori Hamani International Airport,NE,l,Africa/Niamey
DRRP,12.48450,2.39845,La Tapoa Airport,NE,s,Africa/Niamey
DRRT,14.87570,5.26536,Tahoua Airport,NE,m,Africa/Niamey
DRRU,14.35556,2.06944,Ouallam Airport,NE,s,Africa/Niamey
DRZA,16.96600,8.00011,Mano Dayak International Airport,NE,m,Africa/Niamey
DRZD,18.96393,12.86413,Dirkou Airport,NE,s,
DRZF,13.37290,12.62670,Diffa Airport,NE,s,Africa/Niamey
DRZG,13.89030,10.17711,Goure Airport,NE,s,Africa/Niamey
DRZI,19.06620,8.41496,Iferouane Airport,NE,s,Africa/Niamey
DRZL,18.79040,7.36595,Arlit Airport,NE,s,Africa/Niamey
DRZM,13.20550,12.03230,Maine-Soroa Airport,NE,s,Africa/Niamey
DRZN,14.25100,13.12900,N'Guigmi Airport,NE,s,Africa/Niamey
DRZR,13.77900,8.98376,Zinder Airport,NE,m,Africa/Niamey
DRZT,15.00111,8.77028,Tanout Airport,NE,s,Africa/Niamey
DTKA,36.98000,8.87694,Tabarka-Aïn Draham International Airport,TN,m,Africa/Tunis
DTMB,35.75810,10.75470,Monastir Habib Bourguiba International Airport,TN,m,Africa/Tunis
DTNH,36.07583,10.43861,Enfidha - Hammamet International Airport,TN,m,Africa/Tunis
DTTA,36.85100,10.22720,Tunis Carthage International Airport,TN,l,Africa/Tunis
DTTB,37.24236,9.78702,Bizerte Sidi Ahmed Air Base,TN,m,Africa/Tunis
DTTD,32.30620,10.38210,Remada Air Base,TN,m,Africa/Tunis
DTTF,34.42200,8.82250,Gafsa Ksar International Airport,TN,m,Africa/Tunis
DTTG,33.73369,9.91941,Gabès Matmata International Airport,TN,m,Africa/Tunis
DTTI,36.72130,9.94315,Borj El Amri Airport,TN,s,Africa/Tunis
DTTJ,33.87372,10.77730,Djerba Zarzis International Airport,TN,l,Africa/Tunis
DTTR,31.70430,9.25462,El Borma Airport,TN,m,Africa/Tunis
DTTX,34.71800,10.69100,Sfax Thyna International Airport,TN,m,Africa/Tunis
DTTZ,33.93970,8.11056,Tozeur Nefta International Airport,TN,m,Africa/Tunis
DXAK,7.58300,1.11700,Akpaka Airport,TG,s,Africa/Lome
DXDP,10.80042,0.24237,Djangou Airport,TG,s,Africa/Lome
DXKP,7.80345,1.29597,Kolokope Airport,TG,s,Africa/Lome
DXMG,10.37301,0.47138,Sansanné-Mango Airport,TG,s,Africa/Lome
DXNG,9.76667,1.09094,Niamtougou International Airport,TG,l,Africa/Lome
DXSK,8.99428,1.15300,Sokodé Airport,TG,s,Africa/Lome
DXXX,6.16561,1.25451,Lomé–Tokoin International Airport,TG,l,Africa/Lome
EBAG,50.64008,5.45758,Grâce-Hollogne Agusta Heliport,BE,h,Europe/Brussels
EBAL,50.94309,4.05576,Aalst Hospital Helistop,BE,h,Europe/Brussels
EBAM,50.74010,3.48490,Amougies Airfield,BE,s,Europe/Brussels
EBAR,49.66198,5.88595,Arlon-Sterpenich Ultralight Airfield,BE,s,Europe/Brussels
EBAS,51.24706,4.54272,Gravenwezel Heliport,BE,h,Europe/Brussels
EBAV,50.70615,5.06774,Avernas-le-Bauduin Ultralight Airfield,BE,s,Europe/Brussels
EBAW,51.19067,4.46315,Antwerp International Airport (Deurne),BE,m,Europe/Brussels
EBBA,50.46951,3.83877,Baudour Heliport,BE,h,Europe/Brussels
EBBE,50.75860,4.76833,Beauvechain Air Base,BE,m,Europe/Brussels
EBBH,51.34341,4.62205,Keysers Heliport,BE,h,Europe/Brussels
EBBL,51.16830,5.47000,Kleine Brogel Air Base,BE,m,Europe/Brussels
EBBM,50.83089,3.77410,Michelbeke Heliport,BE,h,Europe/Brussels
EBBN,50.41500,6.27639,Büllingen Airfield,BE,s,Europe/Brussels
EBBR,50.90140,4.48444,Brussels Airport,BE,l,Europe/Brussels
EBBT,51.34259,4.50345,Brasschaat Airfield,BE,s,Europe/Brussels
EBBV,51.33200,4.62466,Brecht/Vochten Heliport,BE,h,Europe/Brussels
EBBX,49.89148,5.22741,Jehonville Air Base,BE,s,Europe/Brussels
EBBY,50.56814,4.43522,Baisy-Thy Ultralight Airfield,BE,s,Europe/Brussels
EBBZ,50.54234,4.38247,Buzet Aerodrome,BE,s,Europe/Brussels
EBCF,50.15280,4.38722,Cerfontaine Airfield,BE,s,Europe/Brussels
EBCI,50.46196,4.45956,Brussels South Charleroi Airport,BE,l,Europe/Brussels
EBCV,50.57580,3.83100,Chièvres Air Base,BE,m,Europe/Brussels
EBDI,51.01928,2.85820,Diksmuide Heliport,BE,h,Europe/Brussels
EBDR,51.23956,4.40792,Antwerp/Commandant Fourcault Heliport,BE,h,Europe/Brussels
EBDT,51.00403,5.06470,Schaffen Airfield,BE,s,Europe/Brussels
EBDZ,50.96380,3.54268,Deinze - De Groote,BE,h,Europe/Brussels
EBEA,51.19115,3.53448,Alma General Hospital Heliport,BE,h,Europe/Brussels
EBEB,51.10083,3.65361,Belzele Heliport,BE,h,Europe/Brussels
EBEH,50.18361,4.36972,Eau d'Heure Seaplane Base,BE,s,Europe/Brussels
EBEN,51.21186,4.58109,Engels Heliport,BE,h,Europe/Brussels
EBEU,51.15589,4.40984,Antwerp University Hospital Heliport,BE,h,Europe/Brussels
EBFN,51.09030,2.65278,Koksijde Air Base,BE,m,Europe/Brussels
EBFR,50.45612,5.95380,Francorchamps Heliport,BE,h,Europe/Brussels
EBFS,50.24330,4.64583,Florennes Air Base,BE,m,Europe/Brussels
EBGA,50.87729,4.67282,UZ Leuven Hospital Heliport,BE,h,Europe/Brussels
EBGB,50.94855,4.39181,Grimbergen Airfield,BE,s,Europe/Brussels
EBGE,50.37577,4.48628,Gervinnes Heliport,BE,h,Europe/Brussels
EBGG,50.75560,3.86389,Overboelare Airfield,BE,s,Europe/Brussels
EBGT,51.02055,3.73034,Ghent/Industry Zone Heliport,BE,h,Europe/Brussels
EBGU,51.04669,3.52047,Nevele Heliport,BE,h,Europe/Brussels
EBHA,51.07918,5.10893,Ham Heliport,BE,h,Europe/Brussels
EBHC,50.90379,3.50939,Hof Van Cleve Heliport,BE,h,Europe/Brussels
EBHF,51.26889,4.29583,Kallo - De Perel Heliport,BE,h,Europe/Brussels
EBHL,50.93027,5.08056,Halen Heliport,BE,h,Europe/Brussels
EBHM,50.90982,5.34902,Maasland Heliport,BE,h,Europe/Brussels
EBHN,51.30610,4.38722,Hoevenen Airfield,BE,s,Europe/Brussels
EBHO,50.91968,4.76893,Holsbeek heliport,BE,h,Europe/Brussels
EBHS,50.92347,5.23443,Stevoort Heliport,BE,h,Europe/Brussels
EBHT,51.01415,5.35930,Houthalen Heliport,BE,h,Europe/Brussels
EBIS,50.66364,3.80468,Ath/Isieres Airfield,BE,s,Europe/Brussels
EBJS,50.66666,3.87019,Ath-Ghislenghien Heliport,BE,h,Europe/Brussels
EBKG,50.80287,3.26404,Kortrijk - AZ Groeninge Helipad,BE,h,Europe/Brussels
EBKH,51.18096,5.22112,Balen-Keiheuvel Airfield,BE,s,Europe/Brussels
EBKR,50.89153,3.50081,Kruishoutem / SONS Heliport,BE,h,Europe/Brussels
EBKT,50.81888,3.20955,Kortrijk-Wevelgem International Airport,BE,m,Europe/Brussels
EBKW,51.32165,3.29457,Westkapelle Heliport,BE,h,Europe/Brussels
EBKZ,51.32869,3.29239,Zeno General Hospital Knokke-Heist Campus Heliport,BE,h,Europe/Brussels
EBLB,50.48482,6.18301,Elsenborn Air Base,BE,s,Europe/Brussels
EBLC,50.65339,5.57765,Citadelle Heliport,BE,h,Europe/Brussels
EBLD,51.21716,4.55780,De Vijver Heliport,BE,h,Europe/Brussels
EBLE,51.12000,5.30722,Leopoldsburg Airfield,BE,s,Europe/Brussels
EBLG,50.63857,5.44390,Liège Airport,BE,m,Europe/Brussels
EBLH,51.03333,3.49639,Lotenhulle Heliport,BE,h,Europe/Brussels
EBLJ,51.09556,3.91835,Janssens Heliport,BE,h,Europe/Brussels
EBLM,50.93167,3.29389,Meulebeke Heliport,BE,h,Europe/Brussels
EBLR,50.93489,2.75794,Reninge Heliport,BE,h,Europe/Brussels
EBLS,50.57115,5.56525,Sart Tilman Heliport,BE,h,Europe/Brussels
EBLU,50.99194,5.23903,Lummen Heliport,BE,h,Europe/Brussels
EBLY,51.21066,4.57681,Lymar Heliport,BE,h,Europe/Brussels
EBMB,50.91342,4.49101,Melsbroek Air Base,BE,s,Europe/Brussels
EBMD,51.18167,4.42110,ZNA Middelheim Hospital Heliport,BE,h,Europe/Brussels
EBME,50.87372,4.59691,Meerbeek Heliport,BE,h,Europe/Brussels
EBMG,50.10421,4.63606,Matagne-la-Petite Ultralight Airfield,BE,s,Europe/Brussels
EBMK,50.78195,3.61964,Maarkedal - Nukerke Heliport,BE,h,Europe/Brussels
EBML,50.37503,4.92649,Maillen Ultralight Airfield,BE,s,Europe/Brussels
EBMM,50.95384,5.70480,Maasmechelen Heliport,BE,h,Europe/Brussels
EBMO,50.85128,3.14767,Moorsele Airfield,BE,s,Europe/Brussels
EBMS,50.32171,5.73087,Bra Heliport,BE,h,Europe/Brussels
EBMT,50.35851,4.36845,Montigny-le-Tilleul Heliport,BE,h,Europe/Brussels
EBMW,50.94808,4.29601,Meise/Wolvertem Heliport,BE,h,Europe/Brussels
EBNB,50.47901,4.88502,Namur Bouge Heliport,BE,h,Europe/Brussels
EBNH,51.19410,2.85419,Oostende Heliport,BE,h,Europe/Brussels
EBNK,50.87936,3.52010,Nokere/Suys Heliport,BE,h,Europe/Brussels
EBNL,51.17400,4.66587,Nijlen Heliport,BE,h,Europe/Brussels
EBNM,50.48971,4.76970,Namur-Suarlée Airfield,BE,s,Europe/Brussels
EBNR,50.91074,3.10362,Nuytten Heliport,BE,h,Europe/Brussels
EBOB,50.82262,4.70899,Blanden Heliport,BE,h,Europe/Brussels
EBOK,50.86952,4.28060,Brussels - Groot-Bijgaarden Heliport,BE,h,Europe/Brussels
EBOO,51.27445,2.44750,Oostdijckbank Platform Heliport,BE,h,Europe/Brussels
EBOS,51.19980,2.87467,Ostend-Bruges International Airport,BE,l,Europe/Brussels
EBPP,50.99500,3.52889,Deinze - Piens Heliport,BE,h,Europe/Brussels
EBPV,50.84324,4.03704,Ninove Heliport,BE,h,Europe/Brussels
EBPW,50.72223,3.32613,Warcoing Heliport,BE,h,Europe/Brussels
EBRD,50.82550,4.09697,Roosdaal Heliport,BE,h,Europe/Brussels
EBRO,51.20965,4.58770,Van Den Bosch Heliport,BE,h,Europe/Brussels
EBRR,50.91000,3.14801,Rumbeke Heliport,BE,h,Europe/Brussels
EBRU,50.95748,5.01577,Bekkevoort Heliport,BE,h,Europe/Brussels
EBSG,50.45801,3.82100,Saint-Ghislain Airfield,BE,s,Europe/Brussels
EBSH,50.03590,5.40425,Saint Hubert Airfield,BE,s,Europe/Brussels
EBSJ,51.22049,3.19607,Sint-Jan General Hospital Heliport,BE,h,Europe/Brussels
